parcelTest1,CONTAINER,Unipuck,1,5HT3,sample1,barcode,P1,90,90,90,0,0,0,Default,1,2,2,2,2,2,P1,,smiles,,comments
parcelTest1,CONTAINER,Unipuck,2,5HT3,sample2,barcode,P1,90,90,90,0,0,0,Default,2,3,3,3,3,3,P1,,smiles,,comments
parcelTest1,CONTAINER,Unipuck,3,5HT3,sample3,barcode,P1,90,90,90,0,0,0,Default,3,4,4,4,4,4,P1,,smiles,,comments
parcelTest1,CONTAINER,Unipuck,4,5HT3,sample4,barcode,P1,90,90,90,0,0,0,Default,4,5,5,5,5,5,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,5,5HT3,sample5,barcode,P1,90,90,90,0,0,0,Default,5,6,6,6,6,6,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,6,5HT3,sample6,barcode,P1,90,90,90,0,0,0,Default,6,7,7,7,7,7,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,7,5HT3,sample7,barcode,,90,90,90,0,0,0,Default,7,8,8,8,8,8,P1,,smiles,,comments
parcelTest1,CONTAINER22,Unipuck,8,5HT3,sample8,barcode,,90,90,90,0,0,0,Default,8,9,9,9,9,9,P1,,smiles,,comments
parcelTest1,CONTAINER22,Unipuck,9,5HT3,sample9,barcode,,90,90,90,0,0,0,Default,9,10,10,10,10,10,P1,,smiles,,comments
parcelTest1,CONTAINER22,Unipuck,10,5HT3,sample10,barcode,,90,90,90,0,0,0,Default,10,11,11,11,11,11,P1,,smiles,,comments
parcelTest1,CONTAINER22,Unipuck,11,5HT3,sample11,barcode,P1,90,90,90,0,0,0,Default,11,12,12,12,12,12,P1,,smiles,,comments
parcelTest1,CONTAINER22,Unipuck,12,5HT3,sample12,barcode,P1,90,90,90,0,0,0,Default,12,13,13,13,13,13,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,1,5HT3,sample1,barcode,P1,90,90,90,0,0,0,Default,13,14,14,14,14,14,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,2,5HT3,sample2,barcode,P1,90,90,90,0,0,0,Default,14,15,15,15,15,15,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,3,5HT3,sample3,barcode,P1,90,90,90,0,0,0,Default,15,16,16,16,16,16,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,4,5HT3,sample4,barcode,P1,90,90,90,0,0,0,Default,16,17,17,17,17,17,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,5,5HT3,sample5,barcode,P1,90,90,90,0,0,0,Default,17,18,18,18,18,18,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,6,5HT3,sample6,barcode,P1,90,90,90,0,0,0,Default,18,19,19,19,19,19,P1,,smiles,,comments
parcelTest1,CONTAINER22,Unipuck,7,5HT3,sample7,barcode,P2,90,90,90,0,0,0,Default,19,20,20,20,20,20,P1,,smiles,,comments
parcelTest1,CONTAINER22,Unipuck,8,5HT3,sample8,barcode,P3,90,90,90,0,0,0,Default,20,21,21,21,21,21,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,9,5HT3,sample9,barcode,P4,90,90,90,0,0,0,Default,21,22,22,22,22,22,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,10,5HT3,sample10,barcode,P5,90,90,90,0,0,0,Default,22,23,23,23,23,23,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,11,5HT3,sample11,barcode,P1,90,90,90,0,0,0,Default,23,24,24,24,24,24,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,12,5HT3,sample12,barcode,P1,90,90,90,0,0,0,Default,24,25,25,25,25,25,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,9,5HT3,sample9,barcode,P4,90,90,90,0,0,0,Default,25,26,26,26,26,26,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,10,5HT3,sample10,barcode,P5,90,90,90,0,0,0,Default,26,27,27,27,27,27,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,11,5HT3,sample11,barcode,P1,90,90,90,0,0,0,Default,27,28,28,28,28,28,P1,,smiles,,comments
parcelTest1,CONTAINER11,Unipuck,12,5HT3,sample12,barcode,P1,90,90,90,0,0,0,Default,28,29,29,29,29,29,P1,,smiles,,comments
