PARCEL11,mycontainer,Unipuck,1,5HT3,abc1,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,2,5HT3,abc2,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,3,5HT3,abc3,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,4,5HT3,abc4,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,5,5HT3,abc5,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,6,5HT3,abc6,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,7,5HT3,abc7,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,8,5HT3,abc8,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,9,5HT3,abc9,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,10,5HT3,abc10,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,11,5HT3,abc11,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,12,5HT3,abc12,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,13,5HT3,abc13,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,14,5HT3,abc14,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,15,5HT3,abc15,,,,,,,,,Default,,,,,,,,,smiles,,comments
PARCEL11,mycontainer,Unipuck,16,5HT3,abc16,,,,,,,,,Default,,,,,,,,,smiles,,comments
